suburb,MODE,stop_count,School_Type,school_count,region,Housing_Type,timestamp,Latest_Median,Forecasted_Next_Quarter
Castlemaine,REGIONAL COACH,2.0,Primary,4.0,Other Regional Centres,1 bedroom flat,2024-12-01,300.0,275.0
Castlemaine,REGIONAL COACH,2.0,Primary,4.0,Other Regional Centres,2 bedroom flat,2025-03-01,385.0,360.0
Castlemaine,REGIONAL COACH,2.0,Primary,4.0,Other Regional Centres,2 bedroom house,2025-03-01,430.0,385.0
Castlemaine,REGIONAL COACH,2.0,Primary,4.0,Other Regional Centres,3 bedroom flat,2014-12-01,300.0,450.0
Castlemaine,REGIONAL COACH,2.0,Primary,4.0,Other Regional Centres,3 bedroom house,2025-03-01,480.0,450.0
Castlemaine,REGIONAL COACH,2.0,Primary,4.0,Other Regional Centres,4 bedroom house,2025-03-01,550.0,555.0
Castlemaine,REGIONAL COACH,2.0,Primary,4.0,Other Regional Centres,All properties,2025-03-01,460.0,440.0
Castlemaine,REGIONAL COACH,2.0,Secondary,1.0,Other Regional Centres,1 bedroom flat,2024-12-01,300.0,275.0
Castlemaine,REGIONAL COACH,2.0,Secondary,1.0,Other Regional Centres,2 bedroom flat,2025-03-01,385.0,360.0
Castlemaine,REGIONAL COACH,2.0,Secondary,1.0,Other Regional Centres,2 bedroom house,2025-03-01,430.0,385.0
Castlemaine,REGIONAL COACH,2.0,Secondary,1.0,Other Regional Centres,3 bedroom flat,2014-12-01,300.0,450.0
Castlemaine,REGIONAL COACH,2.0,Secondary,1.0,Other Regional Centres,3 bedroom house,2025-03-01,480.0,450.0
Castlemaine,REGIONAL COACH,2.0,Secondary,1.0,Other Regional Centres,4 bedroom house,2025-03-01,550.0,555.0
Castlemaine,REGIONAL COACH,2.0,Secondary,1.0,Other Regional Centres,All properties,2025-03-01,460.0,440.0
Castlemaine,REGIONAL TRAIN,2.0,Primary,4.0,Other Regional Centres,1 bedroom flat,2024-12-01,300.0,275.0
Castlemaine,REGIONAL TRAIN,2.0,Primary,4.0,Other Regional Centres,2 bedroom flat,2025-03-01,385.0,360.0
Castlemaine,REGIONAL TRAIN,2.0,Primary,4.0,Other Regional Centres,2 bedroom house,2025-03-01,430.0,385.0
Castlemaine,REGIONAL TRAIN,2.0,Primary,4.0,Other Regional Centres,3 bedroom flat,2014-12-01,300.0,450.0
Castlemaine,REGIONAL TRAIN,2.0,Primary,4.0,Other Regional Centres,3 bedroom house,2025-03-01,480.0,450.0
Castlemaine,REGIONAL TRAIN,2.0,Primary,4.0,Other Regional Centres,4 bedroom house,2025-03-01,550.0,555.0
Castlemaine,REGIONAL TRAIN,2.0,Primary,4.0,Other Regional Centres,All properties,2025-03-01,460.0,440.0
Castlemaine,REGIONAL TRAIN,2.0,Secondary,1.0,Other Regional Centres,1 bedroom flat,2024-12-01,300.0,275.0
Castlemaine,REGIONAL TRAIN,2.0,Secondary,1.0,Other Regional Centres,2 bedroom flat,2025-03-01,385.0,360.0
Castlemaine,REGIONAL TRAIN,2.0,Secondary,1.0,Other Regional Centres,2 bedroom house,2025-03-01,430.0,385.0
Castlemaine,REGIONAL TRAIN,2.0,Secondary,1.0,Other Regional Centres,3 bedroom flat,2014-12-01,300.0,450.0
Castlemaine,REGIONAL TRAIN,2.0,Secondary,1.0,Other Regional Centres,3 bedroom house,2025-03-01,480.0,450.0
Castlemaine,REGIONAL TRAIN,2.0,Secondary,1.0,Other Regional Centres,4 bedroom house,2025-03-01,550.0,555.0
Castlemaine,REGIONAL TRAIN,2.0,Secondary,1.0,Other Regional Centres,All properties,2025-03-01,460.0,440.0
Catani,,,,,,,,,
Cathcart,,,,,,,,,
Cathkin,,,,,,,,,
Catumnal,,,,,,,,,
Caulfield,METRO BUS,11.0,,,Southern Melbourne,1 bedroom flat,2025-03-01,495.0,433.0
Caulfield,METRO BUS,11.0,,,Southern Melbourne,2 bedroom flat,2025-03-01,600.0,598.0
Caulfield,METRO BUS,11.0,,,Southern Melbourne,2 bedroom house,2025-03-01,625.0,620.0
Caulfield,METRO BUS,11.0,,,Southern Melbourne,3 bedroom flat,2025-03-01,800.0,760.0
Caulfield,METRO BUS,11.0,,,Southern Melbourne,3 bedroom house,2025-03-01,850.0,790.0
Caulfield,METRO BUS,11.0,,,Southern Melbourne,4 bedroom house,2025-03-01,1200.0,1075.0
Caulfield,METRO BUS,11.0,,,Southern Melbourne,All properties,2025-03-01,650.0,610.0
Caulfield,METRO TRAM,14.0,,,Southern Melbourne,1 bedroom flat,2025-03-01,495.0,433.0
Caulfield,METRO TRAM,14.0,,,Southern Melbourne,2 bedroom flat,2025-03-01,600.0,598.0
Caulfield,METRO TRAM,14.0,,,Southern Melbourne,2 bedroom house,2025-03-01,625.0,620.0
Caulfield,METRO TRAM,14.0,,,Southern Melbourne,3 bedroom flat,2025-03-01,800.0,760.0
Caulfield,METRO TRAM,14.0,,,Southern Melbourne,3 bedroom house,2025-03-01,850.0,790.0
Caulfield,METRO TRAM,14.0,,,Southern Melbourne,4 bedroom house,2025-03-01,1200.0,1075.0
Caulfield,METRO TRAM,14.0,,,Southern Melbourne,All properties,2025-03-01,650.0,610.0
Caulfield East,METRO BUS,10.0,Secondary,1.0,,,,,
Caulfield East,METRO TRAIN,3.0,Secondary,1.0,,,,,
Caulfield East,METRO TRAM,2.0,Secondary,1.0,,,,,
Caulfield East,REGIONAL COACH,1.0,Secondary,1.0,,,,,
Caulfield East,REGIONAL TRAIN,2.0,Secondary,1.0,,,,,
Caulfield North,METRO BUS,25.0,Primary,1.0,,,,,
Caulfield North,METRO BUS,25.0,Secondary,1.0,,,,,
Caulfield North,METRO TRAIN,1.0,Primary,1.0,,,,,
Caulfield North,METRO TRAIN,1.0,Secondary,1.0,,,,,
Caulfield North,METRO TRAM,29.0,Primary,1.0,,,,,
Caulfield North,METRO TRAM,29.0,Secondary,1.0,,,,,
Caulfield South,METRO BUS,28.0,Pri/Sec,2.0,,,,,
Caulfield South,METRO BUS,28.0,Primary,2.0,,,,,
Caulfield South,METRO TRAM,17.0,Pri/Sec,2.0,,,,,
Caulfield South,METRO TRAM,17.0,Primary,2.0,,,,,
Caveat,,,,,,,,,
Cavendish,,,Primary,1.0,,,,,
Ceres,,,Primary,2.0,,,,,
